Name,Price (in Roubles)
Vortex Razor AMG UH-1 holographic sight,"28,510"
Threaded barrel for Glock 9x19 manufactured by Double Diamond,"10,445"
6B23-1 armor (digital flora pattern) (60/60),"48,481"
Medium length rail for Hexagon(Anodized Red),"11,625"
5.45x39 mm BT,222
Altyn helmet,"116,087"
Metal Izhmash stock for PP-19-01,"9,402"
"20"" barrel for a Remington M700 7.62x51 NATO","17,986"
Magpul M-LOK AFG Tactical grip,"10,156"
M-2 Tactical Sword,"1,175,988"
Haley Strategic D3CRX Chest Harness,"25,758"
34mm one piece magmount made by I-E-A Mil Optics,"10,052"
Bolts,"15,888"
Camelbak Tri-Zip Backpack,"43,439"
OKP-7 reflex sight,"7,887"
West wing room 205 key,"41,323"
SRVV 7.62x39 AK muzzlebrake & compensator,"6,464"
LBT-2670 Slim Field Med Pack,"82,683"
Izhmash SVDS dust cover,"9,422"
Regular stock for HK MP7A1,"36,048"
Combat stimulant injector SJ1 TGLabs,"22,386"
"22"" barrel for RPK-16 and compatible 5.45x39","18,983"
5-round .308 AICS M700 magazine,"3,130"
Fab Defence GL Shock Stock,"12,719"
Fancy TT side grips,"10,080"
Zenit DTK-1 7.62x39 & 5.45x39 muzzlebrake & compensator for AK,"4,775"
Izhmash SVDS pistol grip,"5,754"
Zenit B-10 AK Handguard,"10,605"
Hogue Chain link pistol grip for P226,"9,026"
Lone Star Ion Lite handguard for AR-15 and compatible,"14,870"
Bottle of Dan Jackiel Whiskey,"42,506"
25mm rings made by UTG,"2,598"
East wing room 213 key,"85,054"
Spiritus Systems Bank Robber Chest Rig,"8,507"
AAC 762 SDN-6 7.62x51 Sound Suppressor,"51,069"
GP coin,"27,664"
DSA Belgian style foregrip for a FAL,"2,662"
Crye Precision AVS platecarrier (70/70),"141,688"
AN/PVS-14 Night Vision Monocular,"79,291"
7.62x54R 7N1 Sniper cartridge,745
Vltor CASV 2 inch guide,"1,652"
Ortodontox toothpaste,"12,790"
"7.62x51 metal magazine for VPO-101 and compatibles, 10-round capacity","4,800"
Polymer80 PS9 Glock slide,"16,000"
KAC QD Compensator 5.56x45,"9,599"
Tromix Monster Claw 12ga muzzle brake,"9,601"
750mm barrel for MP-133 12ga shotgun with rib,"7,468"
Key to EMERCOM medical unit,"87,775"
165 mm 9x19 barrel for MPX-SD,"4,699"
AKMN 7.62x39 assault rifle,"40,606"
MP7 Flip Up Frontsight,"5,775"
Zenit DTK-4M muzzle brake,"30,672"
SR1MP silencer 9x21,"21,420"
2IRS Klesch flashlight + laser designator,"13,387"
Standard MP7 40-round 4.6x30 magazine,"14,890"
Plastic stock for MP-133/153,"9,523"
Key to KIBA store outlet,"530,567"
Silver Badge,"43,954"
Thunder Beast 223CB Muzzle Brake 5.56x45,"7,146"
KGB MG-47 pistol grip for AK,"12,011"
Momex balaclava,"4,490"
BNTI Kirasa-N armor (70/70),"59,590"
Wilcox Interface for PVS-7,"10,489"
MFI HK Universal Low Profile Scope Mount,"9,335"
Pack of sugar,"73,926"
Silenced Stechkin Automatic Pistol 9x18PM,"16,098"
AK-104 7.62x39 assault rifle,"26,833"
Office 104 West wing key,"76,751"
Custom plastic MP-133 forestock with mounts,"9,661"
TOZ-106 bolt-action shotgun,"6,443"
Broken LCD,"19,332"
Regular 4rnd magazine for Mosin rifle,"2,686"
30mm ring-mount made by JP,"22,683"
Weapon safe key,"8,064"
AKM 7.62x39 assault rifle,"35,371"
Noveske SWS N6 10.5 inch foregrip for AR-10-compatible systems,"22,589"
Remington RAHG 2 inch guide,"1,764"
PUFGUN SG-919 30 30-round 9x19 magazine for PP-19-01,"4,284"
Colt M4 Front sight,"2,751"
East wing room 314 key,"19,382"
Naroh Arms GRAL-S Pistol grip for AR-15-compatible weapons,"15,324"
Sawn off Mosin rifle sniper stock,"80,833"
Handguard War Sport LVOA-S blk. for use with AR-15 and compatible,"14,022"
Glock Alpha Wolf Custom slide,"8,630"
Light armored Shattered mask,"15,105"
5-shot MC 20-01 Sb.3 20ga magazine for TOZ-106,"2,697"
"11"" barrel for SA-58 7.62x51","14,033"
Wrench,"7,561"
Pack of milk,"17,168"
Molot VPO-215 .366 TKM rifle,"10,268"
B-18 Mount,"4,917"
MP-133 12ga shotgun,"17,732"
Aim Sports MNG rail for Mosin rifle,"4,325"
Trijicon SRS-02 reflex sight,"19,466"
F93 Pro Stock,"10,813"
Saiga 12ga ver. 10 12/76 shotgun,"16,655"
SIG MPX 9x19 Submachine gun,"32,444"
RB-ORB1 key,"43,280"
Malboro Cigarettes,"3,787"
TW EXFIL Ear Covers Coyote,"53,127"
PBS-1 7.62x39 silencer,"40,971"
ME adapter for AK,"6,993"
Colt M4A1 5.56x45 Assault Rifle,"53,950"
Carver Custom 4 Port 9x19 muzzle brake,"8,684"
Kalashnikov AKS-74UN 5.45x39,"21,171"
Magpul M-LOK 2.5 inch guide,"3,137"
Hera Arms CQR pistol grip-stock,"34,765"
"HK ""Enhanced Tube"" buffer tube","10,865"
Zenit RK-4 Foregrip,"6,521"
Five-seveN 20-Round 5.7x28 magazine,"5,544"
Ops-Core FAST Visor,"15,220"
Team Wendy EXFIL Ballistic Helmet Black,"174,039"
RB-ORB3 key,"65,333"
KAC Charging Handle for SR-25,"14,429"
"26"" stainless steel barrel for a Remington M700 7.62x51 NATO","38,122"
5.7x28 mm SS198LF,158
Jason mask,"7,628"
MF-UNTAR armor vest (45/45),"47,967"
SVDS frontsight,"1,311"
Hydrogen peroxide,"9,506"
Magpul MBUS Gen.2 Frontsight,"6,442"
T-5000 Pad,"2,736"
Midwest 4.5 inch M-LOK foregrip for MPX,"7,712"
Izhmash regual dust cover for RPK-16,"8,155"
Trijicon RMR mount for ACOG scopes,"8,522"
KAC Low Profile Gas Block,"7,673"
Folder with intelligence,"186,499"
Magpul CTR Carbine stock,"41,703"
Maska 1Sch helmet (Killa),"87,819"
West wing room 203 key,"21,960"
Handdrill,"43,951"
16 pcs. 9x18 PM PBM ammo box,"1,100"
20 pcs pack 5.56x45 Warmage ammo,"2,750"
10-round polymer magazine 7.62x54R for SV-98,"4,400"
PMAG GEN M3 FDE W 30 5.56x45 STANAG 30-round magazine,"4,401"
Upper receiver ADAR 2-15 5.56x45 for 2-15 assault rifle,"4,390"
Zhukov-S for AK,"24,209"
Daniel Defence RIS II 12.25 foregrip for AR-15-compatible systems,"23,111"
SOK-12 Protection tube,"4,953"
KAC PRS QDC 7.62x51 Sound Suppressor,"42,931"
Eotech XPS3-2 holographic sight,"15,632"
Key to OLI logistics department office,"61,461"
6B2 armor (flora) (80/80),"32,963"
Regular dust cover for FAL,"2,206"
Wooden Izhmash AKM pistol grip for AK,"7,727"
Rye croutons,"3,974"
Vita juice,"8,840"
IOTV Gen4 armor (full protection) (80/80),"314,962"
12-round .308 MDT AICS M700 magazine,"6,078"
Colt M4 Length handguard for AR-15 and compatibles,"2,654"
CAA DRG L-1 mount for SVD,"3,812"
6B3TM-01M armored rig (40/40),"51,494"
Blackhawk! Commando Chest Harness (black),"43,203"
Surefire SF3P 5.56x45 Flashhider for AR-15,"7,314"
CPU Fan,"9,975"
P226 Extended magazine 9x19,"19,951"
GK-02 Muzzle Brake,"3,325"
Fab Defence buffer tube for AGR-870,"3,323"
Rotor 43 9x19 muzzle brake,"13,312"
Zibbo lighter,"15,536"
Medical bloodset,"9,989"
34mm one piece magmount made by Nightforce with a Multimount rail,"6,664"
Highcom Trooper TFO armor (multicam) (70/70),"88,903"
Rotor 43 5.56x45 muzzle brake,"35,462"
Orsis Aluminium body for T-5000,"23,364"
Colt AR-15 charging handle for AR-15,"8,513"
RB-MP22 key,"1,669,365"
6B47 Helmet with cover (flora digital),"31,172"
Kiver face shield (40/40),"18,932"
10-round SVD 7.62x54 magazine,"3,842"
MRE lunch box,"16,960"
7.62x25mm TT LRNPC,77
FP-100 filter absorber,"193,114"
"URX 3 8"" handguard for AR15","26,806"
Sawn off 200mm Mosin barrel,"4,357"
Colt AR-15 5.56x45 STANAG 30-round magazine,"2,482"
SI Enhanced pistol grip for AK FDE,"4,471"
High Standard M4SS Stock,"3,353"
6L20 30-round 5.45x39 magazine for AK-74 and compatible weapons,"2,237"
Power supply unit,"24,864"
Upper receiver B&T 9x19 for MP9-N SMG,"14,422"
ELCAN SpecterDR 1x/4x Scope,"24,635"
Glock Tactical GL21 flashlight with laser,"10,080"
Paracord,"56,045"
Zenit Perst-3 tactical device,"22,419"
Aim sport Universal keymod foregrip for FAL,"6,726"
"90-93 9x18PM Magazine, for 8 PM rounds","1,009"
MSA ACH TC-2001 MICH Series Helmet,"49,301"
"HK MRS 14"" keymod foregrip for 416A5","73,880"
DVL-10 muzzle device,"9,967"
FN P90 5.7x28 submachinegun,"54,876"
9x18 mm PM SP7 gzh,228
7.62x51 mm BPZ FMJ,135
.366 TKM Geksa,90
Antique teapot,"43,920"
Lower half-mask,"4,505"
Cobra EKP-8-18 reflex sight,"7,897"
Eotech 553 holographic sight,"17,495"
RB-GN key,"1,015,995"
Surefire WarComp 5.56x45 Flashhider for AR-15,"5,872"
Maska 1Sch face shield,"84,693"
30-round 5.45x39 magazine for AK-12 and compatibles,"4,745"
UBR GEN2 FDE stock,"13,547"
Wilcox Interface for PVS-7,"11,312"
Vltor CASV 4 inch guide,"1,471"
"12/70 ""Poleva-6u"" Slug",68
Thread protector for Alpha Wolf Glock barrels,850
Tactica Tula 10000 mount,"327,448"
"Molot 6P2.Sb-11 7.62x39 magazine for AK and compatibles, 40-round capacity","2,724"
5.7x28 mm R37.F,226
"Hogue ""Overmolded ghillie"" stock for Remington Model 700","5,571"
TDI AKM-L handguard for AK,"5,118"
5.56x45 mm M856A1,339
TOZ 002 pistol grip for TOZ-106,"2,159"
Recoil pad from Aim Sports for Mosin rifle,"8,740"
Skeletonized AR-15 pistol grip,"10,884"
P226 thread protection cap,"2,852"
20/70 Devastator Slug,267
Magpul PRS 2polymer stock for FAL,"10,271"
MP-153 5-rd magazine extension,"1,824"
ASh-12 Vertical pistol grip,"7,141"
LEDX Skin Transilluminator,"1,301,285"
Fleece cloth,"2,857"
"Gunpowder ""Kite""","10,291"
Round frame sunglasses,"10,300"
"FN magazine for P90, 50-round capacity","14,884"
5.7x28 mm L191,284
ProMag AALVX 35 7.62x39 35-round SKS magazine.,"22,913"
HK Grip V.2 pistol grip for AR-15 based systems,"3,437"
"12x70 6.5 mm ""Express"" Buckshot",39
TW EXFIL Ballistic helmet face shield (coyote),"45,754"
Tactical glasses,"1,377"
Graphics card,"218,048"
PMAG GEN M3 30 5.56x45 STANAG 30-round magazine,"4,755"
Colt buffer tube,"1,455"
Dogtag BEAR,"16,672"
9x18 PM mm RG028 gzh,92
Door key,"3,450"
Scope mount for VPO-215,"3,456"
LOBAEV Arms DVL-10 M2 handguard,"5,754"
Zenit RK-6 Foregrip,"7,819"
Saline solution,"18,468"
USEC stash on Customs key,"157,032"
Izhmash AK polymer pistol grip (6P1 Sb.8),"1,041"
Trijicon RMR mount for a Sig-Sauer pistols,"16,200"
MPX with TTI Base pad +11 41-round 9x19 magazine,"7,639"
Factory Plan,"11,576"
PP-91-01 Kedr-B 9x18PM suppressor,"9,725"
Polymer stock for SVDS,"16,208"
Thread protection for AKM/VPO-209,"3,473"
"2U ""Kleh"" tactical flashlight","11,585"
TAPCO SAW-Style FDE pistol grip for AK,"6,951"
Water bottle with a filter Aquamari,"16,800"
Hexagon handguard for AK,"32,441"
Standard MP5 20-round 9x19 magazine,"4,636"
Glock Zev Tech Hex Spartan slide,"20,876"
MOE Carbine stock,"12,887"
16 inch .308 barrel for MDR and compatible,"144,989"
Silencer APB 9x18PM,"5,688"
Surefire SOCOM556-MONSTER 5.56x45 silencer,"53,444"
VPO-215 thread protection cap,"1,569"
WD-40 100ml.,"8,082"
VAZ key,"5,815"
Key RB-PSP2,"680,551"
TW EXFIL Ballistic helmet face shield (black),"52,338"
"Regular ""DS Arms"" pistol grip for SA-58","1,164"
5.7x28 mm R37.X,170
Miltec panama hat,"6,639"
Mr. Holodilnick thermobag,"349,602"
RB-AM key,"67,598"
RB-TB key,"52,470"
355mm barrel for M870 12ga,"4,662"
Midwest 10.5 inch M-LOK foregrip for MPX,"7,780"
Geiger-Muller counter,"15,078"
RB-MP21 key,"58,443"
Norotos Titanium Advanced Tactical Mount,"10,295"
DI ECS FDE pistol grip for AR-15 based systems,"2,339"
Tapco buffer tube,"4,682"
Special Twitch Rivals 2020 half mask,"46,850"
Hogue OverMolded Rubber Grip Black,"10,804"
Five-seveN MK2 pistol slide,"38,661"
M1A 20 round 7.62x51 magazine,"3,168"
Shemagh (var. 2),"6,524"
SAG MK1 Freefloat Chassis for SVD,"23,486"
ULTRA medical storage key,"523,071"
Rubber with finger grooves pistol grip for P226,"6,000"
Can of herring,"9,187"
MSA Sordin Supreme PRO-X/L active headphones,"29,454"
Metal cutting scissors,"47,167"
MFT BUS Stock,"11,657"
Piece of plexiglas,"7,548"
DVL-10 Saboteur sniper rifle,"58,999"
Humpback salmon,"8,025"
12/70 HP Slug Copper Sabot Premier,98
7.62x25mm TT PT gzh,104
B-3 mount combo,"5,909"
SVDS Upper Band,"10,636"
Wires,"9,342"
Upper receiver KAC 7.62x51 for SR-25 rifle,"3,548"
RB-PS82 key,"45,000"
SP-8 Survival Machete,"40,281"
Green Ice,"6,878"
Can of sprats,"13,049"
Tiger Rock Mosin rifle tread adapter,"5,103"
KAC QDC Flash supressor kit 7.62x51 flash hider,"13,082"
Delta-tek Sprut mount for pump-action shotguns,"2,383"
Upper receiver HK 416A5 5.56x45 for 416A5,"12,997"
DS Arms Quad Rail Full Length foregrip for SA-58,"13,763"
UNTAR helmet,"20,218"
ELCAN SpecterDR 1x/4x Scope FDE,"25,301"
RayBench Hipster Reserve sunglasses,"6,592"
Vltor CASV keymod 2 inch guide,"4,436"
Immobilizing splint (alu),"14,404"
SOK-12 polymer handguard Sb.7-1,"1,200"
Orsis T-5000M Stock,"20,433"
Misha Mayorov's mask,"6,010"
"20"" stainless steel barrel for a Remington M700 7.62x51 NATO","27,651"
JP Enterprises Gas System-5b,"19,265"
Magpul RVG grip black,"13,391"
Can of pacific saury,"9,654"
RB-ORB2 key,"132,810"
MP5 TL-99 Aluminum handguard,"9,662"
Desert Tech .308 FlashHider,"9,658"
10-round .308 DVL-10 magazine,"5,800"
Original Austrian foregrip for a FAL,"2,420"
Venom Antidote muzzlebrake & compensator for AK,"14,529"
Magpul MOE AKM HAND GUARD (Plum) for AK,"10,897"
SurvL Survivor Lighter,"12,111"
Pilad 043-02 Mount,"6,056"
Daniel Defence FDE RIS II FSP 9.5 foregrip for AR-15-compatible systems,"11,509"
Lab. Violet keycard,"11,715,319"
Basic barrel for Glock 17 9x19,"3,638"
Wooden stock for Molot OP-SKS,"5,583"
5.45x39 mm PP,68
Regular 730mm Mosin barrel,"26,473"
Izhmash Vityaz-SN receiver cover,"3,634"
FAL/SA-58 7.62x51 10 rnd,"1,460"
Magpul MOE SL carbine length M-LOK foregrip for AR15,"9,609"
508mm barrel for M870 12ga,"23,769"
RB-MP13 key,"1,218,069"
RayBench Aviator glasses,"8,415"
PP-91-01 Kedr-B 9x18PM SMG,"31,170"
Tacfire pistol grip for Mosin rifle,"8,781"
Sb.5 5-round 12/76 magazine for SOK-12 and compatible weapons,"1,627"
Disposable syringe,"12,208"
TOZ stock for TOZ-106,"7,333"
Sawn off regular Mosin rifle stock,"2,691"
Health resort room 321 safe key,"17,679"
Altyn face shield (50/50),"46,541"
Round pliers,"6,129"
Ops-Core FAST RAC Headset,"27,045"
Simonov Semi-Automatic Carbine SKS 7.62x39 Hunting Rifle,"24,617"
FN Upper receiver for P90,"4,434"
RB-OP key,"1,233,256"
Lone Wolf Compensator 9 9x19,"2,467"
"18"" barrel for a AR-10 and compatible 7.62x51 NATO","44,430"
Light bulb,"8,644"
Wooden AK-74 handguard (6P1 Sb.6-1),"1,483"
Magpul MOE pistol grip for AK,"12,493"
Holosun HS401G5 reflex sight,"10,522"
RB-AO key,"74,323"
Arms 18 mount for M14,"4,711"
Corrugated hose,"12,411"
Cold Fear Infrared balaclava,"5,206"
ADAR 2-15.56x45 Flashhider,"4,144"
VKBO army bag,"2,487"
Magpul Zhukov-U HAND GUARD (Plum) for AK,"31,111"
ANA Tactical Alpha chest rig,"33,610"
B&T adapter for MP9 regular supressor.,"8,107"
Mosin bolt-action sniper rifle,"31,219"
M700 thread protection cap,"1,249"
Duffle bag,"5,124"
"26"" barrel for a Remington M700 7.62x51 NATO","18,750"
Pompon hat,"3,750"
"""Door Kicker"" Boonie hat","25,052"
Colt A2 Rearsight AR-15,"1,254"
Zenit RK-5 Foregrip,"9,282"
Upper receiver Colt M4A1 5.56x45 for M4A1 assault rifle,"6,150"
Sig Sauer Romeo 4 reflex sight,"11,307"
Threaded barrel for Glock 9x19 manufactured by Salient Arms,"12,566"
"Midwest 9"" M-LOK foregrip for 416A5","9,300"
203 mm 9x19 barrel for MPX,"8,657"
9x18 mm PM PSV,88
Glock 9x19 slide,"4,782"
20/70 5.6mm Buckshot,29
Lantac Dragon 7.62x51 muzzlebrake,"19,089"
Alfa Arms Goliaf AKS-74U Handguard,"8,595"
Molot AKM type gas tube,"17,698"
Magpul Zhukov-U HAND GUARD (Black) for AK,"14,863"
Jar of DevilDog mayo,"11,389"
X400 tactical flashlight,"8,871"
East wing room 316 key,"10,142"
Slickers bar,"3,806"
116mm 7.62x25 TT barrel,"5,083"
Stark AR Rifle Grip (FDE) for AR-15-compatible weapons,"4,832"
Zev Tech Hex Gen3 slide,"19,077"
Strike industries keymod 6 inch guide,"5,088"
Desert Tech pistol grip for MDR Black,"4,712"
Lab. Red keycard,"52,229,762"
Standard 9x19 25-round magazine for MP9,"10,443"
TAPCO SAW-Style pistol grip for SKS INTRAFUSE Kit,"7,134"
TAPCO SAW-Style black pistol grip for SA-58,"5,638"
AK74/AK100 PT Lock,"4,363"
MK12 Low Profile Gas Block,"6,170"
Magpul Pistol Grip for Pro 700 Kit,"3,287"
"Zenit PT-1 ""Klassika"" stock","14,312"
Magpul M-LOK 4.1 inch guide,"3,223"
HK Battle Grip with Beavertail pistol grip for AR-15 based systems,"5,168"
Thread adapter 7.62x54 for SV-98,"16,823"
Vltor CASV FAS foregrip for FAL,"12,961"
"PMM ""ULSS"" foldable MCX/MPX stock","7,781"
Lucky Scav Junkbox,"1,202,715"
Arsenal CWP 30-round 5.56x45 magazine for SLR-106 and compatible weapons,"11,361"
Yarygin MP-443 Grach 9x19 pistol,"11,051"
"20/70 Slug ""Poleva-3""",65
Unknown key,"4,562"
Trijicon RMR,"20,885"
Zhuk-3 Press armor (50/50),"65,300"
7.62x39 mm US,170
Soft tank crew helmet TSH-4M-L,"13,088"
.366 TKM EKO,76
Lab. Blue keycard,"7,429,466"
Strike Industries G4 slide compensator 9x19,"12,850"
Pack of oat flakes,"5,236"
500mm .308 barrel for DVL-10,"25,644"
5.56x45 mm Mk 255 Mod 0,79
SOE Micro Rig,"13,172"
Glock thread protector produced by Double Diamond,"1,320"
FAL/SA-58 7.62x51 30 rnd,"7,265"
DS Arms quad rail foregrip for SA-58,"15,859"
PUFGUN SG-919 20 20-round 9x19 magazine for  PP-19-01,"1,587"
MPL-50 entrenching tool,"6,362"
Jack-o'-lantern tactical pumpkin helmet,"1,063,763"
Beanie,"1,331"
Windham Weaponry Rail Gas Block,"8,121"
Iskra lunch box,"15,855"
Izhmash polymer AK-74 stock (6P20 Sb.7),"3,998"
5.45x39 mm PRS,20
Magpul AFG grip FG,"5,336"
"22"" barrel for a SVDS 7.62x54","33,361"
Phase control relay,"8,903"
ZSh-1-2M helmet (black),"39,970"
DS Arms Extreme Duty dust cover for SA58,"16,047"
Standard 9x19 30-round magazine for MP9,"8,040"
Baseball cap,"1,206"
Burris FastFire Weaver Base,"2,011"
12/70 5.25mm Buckshot,51
Respirator,"3,356"
PP-19-01 Izhmash pistol grip,"2,687"
Kalashnikov AKS-74UB 5.45x39,"20,926"
Signal Jammer,"6,733"
Gascan glasses,"5,388"
9x18 mm PM PBM,81
5.45x39 mm FMJ,27
Standard 9x18PM 20-round magazine for PP-91,"1,509"
Vltor CASV 5 inch guide,"9,056"
FAL/SA-58 7.62x51 20 rnd,"2,039"
SSD drive,"81,689"
TDI AKM-L handguard for AK Anodized Bronze,"14,989"
Shustrilo sealing foam,"12,275"
SIG MPX Gen1 Handguard 2 inch rail adapter,"2,454"
Izhmash 7.62x39 AK-104 muzzlebrake & compensator (6P46 0-20),"6,166"
RB-PSP1 key,"67,157"
B-11 AKS-74U Handguard,"7,614"
Fab AG FAL pistol grip for SA-58,"11,778"
Remington SPS Polymer stock for M870,"3,446"
Immobilizing splint,"2,072"
6B34 Anti-fragmentation glasses,"4,455"
9x19 mm Pst gzh,90
Army Crackers,"5,550"
MP5 Cocking Handle,"2,776"
116mm 7.62x25 TT gilded barrel,"16,660"
Zhuk-6a heavy armor (75/75),"361,284"
Fortis Shift tactical grip,"44,547"
ME Cylinder muzzle adapter 12 ga,"5,580"
Decelerator 3 Port 9x19 Compensator,"5,578"
Ushanka ear-flap cap,"11,889"
Daniel Defence RIS II 9.5 foregrip for AR-15-compatible systems,"15,150"
AKM/AK-74 PT Lock,"6,100"
"16"" barrel for SA-58 7.62x51","37,979"
TW EXFIL Ear Covers Black,"56,607"
12/70 Grizzly 40 Slug,85
MP5SD 9x19 silencer,"45,332"
Dorm room 104 Key,"12,851"
Polymer stock DSA humpback for SA-58,"2,857"
Molot AKM type dust cover,"1,358"
CAA AKTS AK-74 Buffer Tube for AK and compatible,"8,601"
PB 9x18PM silenced pistol,"10,057"
APS Frontsight,"28,842"
Regular VPO-215 stock,"12,260"
7.62x51 mm TPZ SP,93
RB-AK key,"438,512"
PM/PPSH 9x18PM 84-round drum mag for PM,"21,932"
Customs plan,"11,725"
Regular Mosin rifle stock,"5,878"
Izhmash 5.45x39 RPK-16 muzzlebrake & compensator,"2,362"
PMAG GEN M3 10 5.56x45 STANAG 10-round magazine,"1,481"
Izhmash wooden AKM stock (6P1 Sb.5),"4,451"
Truglo TFX Glock rear sight,"3,315"
7.62x39 mm T45M,45
Standard APS 9x18PM 20-round magazine,"1,352"
Polymer pistol grip for M9A3,"12,033"
Hogue OverMolded Rubber Grip OD Green,"5,028"
4.6x30mm FMJ SX,121
FN P90 stock,"15,132"
"Palm US AK30 7.62x39 magazine for AK and compatibles, 30-round capacity","4,541"
Wooden AKS-74U Handguard (6P26 Sb.6),"1,191"
Dry fuel,"33,724"
PMAG GEN M3 20 5.56x45 STANAG 20-round magazine,"3,058"
National Match 7.62x51 muzzlebrake & compensator for M1A,"5,361"
Dundukk sport sunglasses,"2,612"
Capacitors,"5,236"
5-round .308 T-5000 magazine,"9,244"
Tactical fleece hat,"4,169"
Key ZB-014,"6,187"
SIG double latch charging handle for MPX,"15,498"
RB-RS key,"232,760"
USEC baseball cap,"2,653"
TOZ-106 scope mount,"3,125"
MP-443 9x19 18-round magazine,"1,578"
HK E1 Stock for AR-15 and compatable,"32,972"
AKS-74U Dust cover (6P26 Sb.7),"1,968"
Izhmash wooden AK-74 stock (6P20 Sb.5),"2,685"
Dorm room 306 Key,"4,745"
HK MP5SD Upper receiver,"16,617"
MP-153 6-rd magazine extension,"2,533"
Rotor 43 thread adapter for SVD-S,"6,980"
Izhmash 9x19 PP-19-01 muzzle brake/compensator,"12,714"
10-round Izh.9x19 Sb.7 magazine,799
AKS-74U Gas tube,"3,207"
SV-98 muzzle device,"2,406"
FN top rail for regular P90 upper receiver,"3,530"
16 pcs. 9x18 PM SP8 gzh ammo box,648
Neoprene mask,"17,836"
Colt A2 AR-15 pistol grip,"2,956"
ADAR buffer tube,"4,112"
Molot wooden VPO-136 stock,"1,650"
Flat screwdriver,"4,794"
ZSh-1-2M face shield (50/50),"14,906"
5.56x45 mm M855,116
Direct Thread Mount adapter for Gemtech ONE.,"16,025"
HK Extended latch Charging Handle,"9,623"
"DS Arms ""3 prong trident"" 7.62x51 Flashhider for SA-58","8,694"
Sight Mount M9 rear sight bearing,"10,386"
"Lantac ""Blast mitigation device"" 7.62x51","18,409"
P226 Sig Stainless elite pistol slide,"3,352"
ER Fulcrum Bayonet,"8,437"
25 mm mount ring,"2,349"
Mosin frontsight,"2,722"
Colt USGI A2 5.56x45 Flashhider for AR-15,"1,710"
Office 107 East wing key,"17,139"
Fab Defence AGR-870 pistol grip for Remington-870,"8,668"
P226 Sig Legion full size pistol slide,"4,335"
PMAG SR/LR GEN M3 20 7.62x51 20 rnd,"9,947"
RB-SMP key,"70,044"
Izhmash AK magazine (issued ‘55 or later) 30-round for 7.62x39 AK and compatibles,"1,751"
Dorm room 105 Key,"1,756"
Izhmash AK-12 regular pistol grip,"6,761"
RB-KSM key,"526,671"
Buffer tube side folder adapter for M700,"16,400"
AS VAL Pistol grip,"2,616"
Wooden AKM / VPO-209 handguard,"1,661"
Custom SVDS dust cover,"8,441"
"Metal magazine for VPO-215 and compatibles, .366 TKM 4-round capacity","2,080"
Grand juice,"7,944"
Emelya rye croutons,"6,372"
Toothpaste,"2,728"
FN charge handle for P90,"29,388"
"Regular VPO-101 ""Vepr Hunter"" stock","17,822"
Flyye MBSS Backpack,"17,947"
Izhmash SOK-12 Sb.0-2 dust cover,"2,464"
ASh-12 regular muzzlebrake 12.7x55,"13,806"
KAC Steel 20 7.62x51 20 rnd,"7,359"
Cobra Family Sights Shade,220
"20"" barrel for SR-25 and compatible 7.62x51","127,999"
Dogtag USEC,"12,872"
SV-98 anti-heat ribbon,"15,291"
MIAD Pistol grip for AR-15 based systems,"6,350"
PNV-10T dovetail adapter,"5,522"
AAC Blackout 51T flash hider (7.62x51),"11,547"
AK-74M Standard Rearsight (6P20 Sb.2),"1,395"
MP5k Polymer handguard,"7,000"
HK 416A5 Flip Up Rearsight,"7,040"
MP7 Flip Up Rearsight,"6,012"
HK MP5 Drum Rearsight,"12,033"
SHPM Firefighter's helmet,"8,100"
TT-105 7.62x25 TT Magazine,"4,225"
Police cap,"3,344"
IzhMash metal stock for AKS-74 (6P21 Sb.5),"6,776"
KAC short panel for URX 3/3.1 FDE,"7,472"
KAC Steel 10 7.62x51 10 rnd,"5,370"
510mm barrel for MP-133 12ga shotgun with rib,"82,882"
